YEAR,MONTH,DAY_OF_MONTH,OP_UNIQUE_CARRIER,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,CANCELLED
2024,6,5,WN,CLT,JFK,,54,0
2024,9,7,AA,CLT,BOS,0,,0
2024,1,27,AA,CLT,ATL,10,8,0
2024,9,28,DL,ATL,BOS,,51,0
2024,2,19,DL,ATL,JFK,-11,59,0
2024,8,22,WN,ATL,LGA,,18,0
2024,3,23,DL,CLT,MIA,,16,0
2024,2,17,WN,CLT,DEN,,-15,0
2024,9,19,UA,ATL,DEN,,-12,0
2024,5,16,AA,CLT,MIA,,,0
2024,1,15,UA,CLT,JFK,,-4,0
2024,7,13,WN,CLT,ORD,,,0
2024,9,9,WN,ATL,BOS,,,1
2024,3,3,DL,CLT,DFW,,55,0
2024,5,10,AA,CLT,BOS,,-4,0
2024,8,28,WN,ATL,BOS,,-13,0
2024,2,7,WN,CLT,JFK,-12,-20,0
2024,9,4,UA,CLT,JFK,,,0
2024,6,20,UA,ATL,JFK,,,0
2024,5,3,DL,CLT,DEN,15,46,0
2024,4,17,UA,CLT,ATL,4,,0
2024,3,12,DL,ATL,DFW,-3,31,0
2024,4,17,WN,ATL,CLT,,,1
2024,5,16,UA,CLT,DEN,,-10,0
2024,2,8,WN,CLT,DEN,24,,0
2024,11,3,AA,ATL,DFW,,22,0
2024,12,13,WN,ATL,JFK,-5,-17,0
2024,10,15,DL,ATL,DEN,20,-18,0
2024,12,21,AA,CLT,BOS,,,1
2024,4,27,DL,CLT,MIA,17,,0
2024,5,18,WN,CLT,ATL,,,1
2024,6,15,WN,CLT,ORD,,3,0
2024,3,6,DL,ATL,JFK,,-7,0
2024,4,7,UA,CLT,JFK,20,,0
2024,6,20,DL,ATL,LGA,15,,0
2024,9,7,WN,CLT,BOS,,-11,0
2024,7,3,DL,ATL,JFK,,,0
2024,3,15,DL,CLT,BOS,-5,,0
2024,9,13,UA,ATL,DFW,,,0
2024,9,15,WN,CLT,BOS,,45,0
2024,2,26,DL,CLT,JFK,-13,14,0
2024,7,28,UA,ATL,ORD,,21,0
2024,5,2,DL,ATL,JFK,-14,13,0
2024,10,28,DL,CLT,MIA,14,,0
2024,5,20,DL,CLT,DFW,,,1
2024,3,9,AA,CLT,DFW,,,1
2024,11,10,DL,ATL,LGA,,24,0
2024,5,2,AA,CLT,DFW,,,0
2024,11,16,WN,ATL,DFW,,,1
2024,6,7,DL,ATL,DEN,,,1
2024,3,1,AA,ATL,BOS,,,0
2024,10,8,UA,CLT,LGA,,,0
2024,6,11,UA,CLT,ATL,,,1
2024,5,7,UA,CLT,ATL,,15,0
2024,4,17,AA,CLT,MIA,,55,0
2024,7,1,UA,ATL,DFW,18,,0
2024,6,24,WN,CLT,MIA,-6,,0
2024,12,23,DL,CLT,DFW,-13,26,0
2024,7,27,WN,CLT,ATL,,13,0
2024,8,26,AA,CLT,JFK,,,0
2024,4,24,DL,CLT,LGA,9,,0
2024,1,20,DL,CLT,ORD,4,,0
2024,1,16,UA,CLT,DFW,,,0
2024,8,25,AA,CLT,MIA,,,1
2024,8,1,UA,ATL,JFK,,29,0
2024,4,3,AA,CLT,MIA,,,1
2024,3,20,UA,CLT,DEN,,-17,0
2024,1,16,WN,ATL,MIA,,,0
2024,2,27,UA,CLT,DEN,10,5,0
2024,12,10,UA,ATL,JFK,22,,0
2024,5,28,AA,ATL,JFK,3,,0
2024,7,17,UA,CLT,DEN,12,,0
2024,9,18,DL,CLT,ATL,,,1
2024,7,15,DL,ATL,LGA,20,,0
2024,7,11,UA,ATL,MIA,,,0
2024,8,18,WN,CLT,ORD,-11,,0
2024,9,8,WN,ATL,LGA,20,11,0
2024,3,11,AA,ATL,DFW,21,,0
2024,7,14,DL,ATL,MIA,,,0
2024,3,22,DL,CLT,MIA,,,0
2024,5,28,AA,CLT,ATL,,-20,0
2024,7,27,WN,ATL,DFW,-1,-1,0
2024,12,23,WN,CLT,ATL,-7,52,0
2024,11,23,UA,CLT,MIA,12,-8,0
2024,5,17,DL,ATL,MIA,23,,0
2024,8,9,UA,CLT,LGA,20,,0
2024,12,21,UA,CLT,ATL,11,12,0
2024,11,14,UA,CLT,LGA,,,0
2024,4,1,UA,CLT,DFW,,4,0
2024,8,8,UA,ATL,JFK,,,1
2024,8,20,DL,CLT,LGA,-12,30,0
2024,4,1,DL,ATL,CLT,,,0
2024,12,4,AA,CLT,DEN,,,0
2024,11,24,WN,ATL,DEN,-9,,0
2024,2,12,WN,CLT,DFW,,-9,0
2024,12,16,DL,ATL,LGA,,,0
2024,4,26,WN,CLT,BOS,-11,12,0
2024,12,3,UA,ATL,MIA,24,,0
2024,5,10,AA,CLT,ATL,,,0
2024,5,14,WN,CLT,LGA,4,57,0
2024,6,28,UA,ATL,DEN,23,45,0
2024,7,25,DL,CLT,BOS,,,0
2024,3,14,AA,CLT,MIA,-2,,0
2024,12,15,DL,CLT,ORD,24,48,0
2024,5,10,UA,ATL,DEN,1,36,0
2024,3,8,DL,CLT,MIA,22,21,0
2024,7,9,DL,CLT,JFK,-13,,0
2024,4,27,WN,ATL,CLT,-1,-14,0
2024,10,27,DL,CLT,DEN,,,0
2024,11,1,AA,ATL,DFW,6,-15,0
2024,5,2,DL,CLT,DEN,8,,0
2024,2,7,AA,ATL,LGA,,50,0
2024,11,18,AA,CLT,BOS,,,0
2024,1,10,UA,ATL,BOS,8,,0
2024,4,1,WN,CLT,BOS,,,0
2024,8,25,DL,CLT,ATL,,,0
2024,12,17,DL,CLT,DEN,18,-12,0
2024,7,16,DL,ATL,ORD,,20,0
2024,10,21,WN,CLT,ORD,,58,0
2024,8,6,DL,CLT,BOS,,,1
2024,3,13,UA,CLT,ORD,-3,51,0
2024,11,27,UA,CLT,BOS,,,0
2024,10,8,WN,ATL,DEN,13,-18,0
2024,10,16,WN,CLT,LGA,14,,0
2024,2,3,DL,ATL,BOS,13,-15,0
2024,2,24,UA,CLT,ATL,9,-17,0
2024,10,24,AA,CLT,ORD,,,1
2024,8,10,DL,CLT,JFK,,,0
2024,10,9,WN,CLT,MIA,15,,0
2024,10,17,DL,ATL,DEN,,,0
2024,11,11,WN,CLT,MIA,18,,0
2024,9,17,AA,ATL,BOS,,,0
2024,10,5,UA,ATL,JFK,-4,,0
2024,5,21,UA,CLT,ATL,,,0
2024,1,5,WN,CLT,ATL,,18,0
2024,9,12,DL,ATL,MIA,,,0
2024,3,5,AA,CLT,ORD,-11,,0
2024,5,1,AA,ATL,LGA,,11,0
2024,1,2,AA,CLT,BOS,-5,-7,0
2024,10,18,DL,CLT,BOS,,58,0
2024,9,10,AA,ATL,CLT,,,1
2024,12,26,WN,CLT,BOS,14,37,0
2024,4,4,UA,CLT,ATL,1,,0
2024,11,26,UA,ATL,DFW,17,,0
2024,4,27,DL,CLT,DEN,,56,0
2024,7,28,WN,ATL,CLT,12,,0
2024,4,13,AA,CLT,ORD,-8,59,0
2024,6,5,AA,CLT,ATL,25,-12,0
2024,2,28,UA,CLT,JFK,9,11,0
2024,4,4,AA,CLT,JFK,,41,0
2024,3,4,DL,ATL,DEN,1,,0
2024,5,2,UA,ATL,LGA,24,32,0
2024,7,17,AA,ATL,LGA,19,,0
2024,3,14,AA,CLT,MIA,-12,,0
2024,2,16,DL,ATL,DEN,,,1
2024,9,9,DL,ATL,DFW,,,1
2024,4,16,DL,CLT,JFK,20,,0
2024,6,4,WN,ATL,JFK,,,0
2024,5,14,DL,ATL,DFW,,,1
2024,3,18,AA,ATL,DEN,,,0
2024,8,23,UA,CLT,ORD,0,,0
2024,12,27,DL,CLT,DFW,,0,0
2024,6,7,UA,CLT,ORD,,,1
2024,2,7,WN,CLT,ORD,,15,0
2024,2,21,AA,ATL,DFW,14,,0
2024,7,23,DL,ATL,LGA,,-20,0
2024,7,23,WN,CLT,DFW,,,0
2024,5,21,AA,ATL,DFW,25,,0
2024,8,15,AA,ATL,ORD,5,,0
2024,2,2,UA,CLT,ORD,,,0
2024,9,7,WN,CLT,DEN,,6,0
2024,7,17,AA,ATL,CLT,,-13,0
2024,2,14,WN,ATL,MIA,,47,0
2024,7,15,DL,CLT,ORD,,,1
2024,2,26,DL,ATL,DFW,,,0
2024,5,25,DL,ATL,DEN,,,0
2024,7,22,DL,ATL,CLT,,,0
2024,6,16,WN,ATL,JFK,8,,0
2024,1,3,UA,CLT,DEN,-15,6,0
2024,11,10,UA,CLT,ORD,,24,0
2024,4,13,DL,CLT,MIA,-2,36,0
2024,9,4,UA,ATL,DFW,,51,0
2024,8,15,DL,ATL,DFW,19,,0
2024,8,23,WN,ATL,LGA,11,,0
2024,11,21,AA,CLT,ATL,6,,0
2024,8,25,DL,CLT,DFW,25,23,0
2024,11,12,UA,ATL,DFW,,12,0
2024,5,10,UA,ATL,BOS,,,0
2024,2,11,DL,ATL,MIA,25,,0
2024,12,18,WN,CLT,BOS,-15,,0
2024,10,25,AA,ATL,ORD,23,7,0
2024,11,21,WN,CLT,JFK,,-8,0
2024,6,28,DL,ATL,MIA,,,0
2024,1,14,AA,ATL,CLT,,37,0
2024,1,22,WN,CLT,LGA,20,,0
2024,4,5,AA,ATL,CLT,-8,7,0
2024,3,16,AA,ATL,DFW,-4,26,0
2024,12,25,AA,ATL,LGA,1,-16,0
2024,1,1,AA,ATL,MIA,23,42,0
2024,6,12,WN,ATL,ORD,,,0
2024,8,13,WN,ATL,DEN,,57,0
2024,3,20,UA,ATL,DFW,9,,0
2024,12,1,UA,ATL,MIA,22,16,0
2024,10,5,UA,ATL,DEN,,28,0
2024,12,8,UA,CLT,BOS,,55,0
2024,7,15,AA,ATL,JFK,,,0
2024,8,17,DL,CLT,DFW,,,0
2024,7,25,DL,CLT,ATL,,,1
2024,8,12,AA,ATL,LGA,,56,0
2024,6,9,AA,CLT,ATL,,55,0
2024,5,25,UA,ATL,JFK,,,1
2024,10,27,DL,ATL,CLT,,-10,0
2024,1,2,UA,ATL,LGA,,,1
2024,2,28,WN,CLT,JFK,21,,0
2024,3,15,DL,ATL,DFW,,,1
2024,4,6,AA,ATL,DEN,20,,0
2024,9,23,WN,CLT,JFK,-15,,0
2024,11,4,WN,ATL,DEN,,,0
2024,3,15,DL,CLT,ATL,-3,0,0
2024,2,20,UA,CLT,LGA,,,1
2024,7,27,AA,CLT,LGA,,,1
2024,6,27,DL,ATL,JFK,,8,0
2024,3,23,WN,CLT,LGA,,32,0
2024,3,1,UA,ATL,DEN,,,0
2024,8,16,AA,CLT,ATL,,16,0
2024,5,25,DL,ATL,BOS,,,1
2024,4,8,AA,ATL,MIA,-5,17,0
2024,11,1,WN,ATL,ORD,,,0
2024,7,2,WN,CLT,MIA,-7,46,0
2024,12,6,DL,CLT,JFK,,2,0
2024,3,20,DL,ATL,DFW,,,0
2024,6,10,WN,CLT,ATL,15,14,0
2024,3,19,UA,CLT,ORD,21,,0
2024,9,3,AA,ATL,DFW,,53,0
2024,5,28,AA,ATL,LGA,18,-18,0
2024,2,8,DL,CLT,JFK,20,-18,0
2024,12,24,DL,ATL,CLT,,46,0
2024,12,15,AA,ATL,JFK,,,0
2024,8,19,UA,CLT,JFK,-7,9,0
2024,11,19,WN,ATL,ORD,,,1
2024,1,21,WN,ATL,CLT,,,0
2024,4,27,UA,ATL,DEN,20,21,0
2024,11,12,DL,ATL,CLT,18,,0
2024,7,7,AA,CLT,ORD,,-15,0
2024,1,28,UA,ATL,CLT,1,46,0
2024,7,8,AA,ATL,JFK,-5,,0
2024,2,15,DL,ATL,JFK,,,0
2024,5,8,AA,ATL,LGA,21,29,0
2024,9,23,UA,ATL,MIA,,-17,0
2024,6,8,DL,ATL,BOS,7,,0
2024,9,11,WN,ATL,MIA,,-13,0
2024,3,18,AA,ATL,LGA,,,0
2024,12,25,AA,CLT,ORD,7,,0
2024,9,4,WN,ATL,ORD,-9,32,0
2024,8,13,DL,ATL,MIA,23,,0
2024,12,15,UA,ATL,MIA,,21,0
2024,12,28,WN,ATL,LGA,,,0
2024,10,13,DL,CLT,DEN,23,21,0
2024,7,1,AA,CLT,MIA,,,0
2024,9,20,WN,ATL,BOS,,37,0
2024,11,3,DL,CLT,BOS,10,,0
2024,8,13,WN,ATL,JFK,,,0
2024,9,6,AA,ATL,DEN,,60,0
2024,9,10,DL,CLT,BOS,25,25,0
2024,12,14,AA,CLT,MIA,20,,0
2024,2,19,AA,CLT,DFW,,48,0
2024,10,7,WN,CLT,ORD,17,-17,0
2024,2,6,WN,ATL,BOS,-12,,0
2024,3,23,DL,ATL,MIA,2,54,0
2024,6,7,WN,ATL,CLT,10,36,0
2024,10,8,DL,CLT,ATL,22,20,0
2024,8,10,WN,ATL,LGA,,,1
2024,2,8,WN,CLT,BOS,16,11,0
2024,3,6,UA,ATL,ORD,,,0
2024,2,11,WN,ATL,BOS,,24,0
2024,7,7,WN,ATL,DEN,,,0
2024,3,8,DL,CLT,DFW,,39,0
2024,3,12,UA,CLT,BOS,22,,0
2024,9,7,DL,ATL,ORD,,,1
2024,5,20,WN,ATL,DFW,17,-4,0
2024,11,17,AA,ATL,BOS,21,19,0
2024,7,23,AA,CLT,DFW,-9,,0
2024,9,25,UA,CLT,JFK,-10,16,0
2024,12,13,UA,ATL,BOS,14,15,0
2024,1,12,UA,ATL,CLT,14,,0
2024,11,4,DL,ATL,JFK,23,,0
2024,1,20,DL,ATL,DFW,,,0
2024,11,21,DL,CLT,LGA,,,0
2024,1,4,UA,CLT,ATL,,,1
2024,11,4,AA,ATL,DFW,7,,0
2024,12,20,DL,ATL,JFK,,,0
2024,9,2,DL,ATL,ORD,-3,,0
2024,3,18,DL,CLT,MIA,-12,,0
2024,7,3,DL,ATL,ORD,,10,0
2024,1,17,WN,CLT,DEN,-7,55,0
2024,6,21,AA,ATL,ORD,,31,0
2024,2,23,UA,CLT,DEN,-13,,0
2024,4,4,UA,ATL,JFK,,,0
2024,5,6,AA,CLT,ATL,16,,0
2024,2,21,WN,ATL,LGA,,,0
2024,2,21,UA,ATL,DFW,-14,30,0
2024,5,12,DL,CLT,JFK,,28,0
2024,11,27,UA,ATL,DFW,,12,0
2024,1,2,AA,ATL,CLT,,,1
2024,8,14,WN,CLT,MIA,25,-2,0
2024,3,5,WN,ATL,JFK,,,1
2024,8,16,DL,CLT,DEN,,,0
2024,2,22,AA,ATL,DEN,-15,,0
2024,5,1,WN,ATL,DFW,,,0
2024,7,18,DL,ATL,JFK,,,0
2024,10,19,WN,ATL,LGA,,23,0
2024,4,8,WN,CLT,ORD,,26,0
2024,10,15,WN,ATL,JFK,-3,,0
2024,11,4,DL,ATL,LGA,14,49,0
2024,12,17,AA,ATL,JFK,-7,60,0
2024,8,27,WN,CLT,DFW,-10,27,0
2024,7,8,AA,ATL,CLT,23,,0
2024,2,23,DL,ATL,JFK,-3,25,0
2024,6,24,UA,CLT,MIA,,42,0
2024,10,12,AA,ATL,DEN,-8,,0
